"Population and dwelling counts: Canada and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-01"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation","Province or territory abbreviation"
"Chilco Lake 1 6","IRI","B.C.","..","5","..","..","4","..","..","2","..","1.00","..","..",".."
"Chilco Lake 1A 6","IRI","B.C.","..","25","..","..","13","..","..","9","..","6.79","..","..",".."
"Coglistiko River 29","IRI","B.C.","0","0","...","1","0","...","0","0","...","0.62","0.0","4,831","644"
"Deep Creek 2","IRI","B.C.","111","91","22.0","47","47","0.0","42","41","2.4","15.67","7.1","4,208","449"
"Dog Creek 1","IRI","B.C.","88","79","11.4","42","35","20.0","41","31","32.3","1.36","64.6","4,314","476"
"Dog Creek 2","IRI","B.C.","17","20","-15.0","5","11","-54.5","5","11","-54.5","2.19","7.7","4,683","576"
"Dragon Lake 3 4","IRI","B.C.","15","26","-42.3","5","8","-37.5","5","8","-37.5","0.16","94.0","4,694","580"
"Euchinico Creek 17","IRI","B.C.","5","0","...","1","0","...","1","0","...","3.87","1.3","4,760","610"
"Fishtrap 19","IRI","B.C.","10","15","-33.3","13","13","0.0","9","9","0.0","0.28","36.1","4,722","592"
"Garden 6","IRI","B.C.","..","5","..","..","3","..","..","3","..","2.04","..","..",".."
"Johny Sticks 2","IRI","B.C.","10","10","0.0","5","5","0.0","5","5","0.0","3.07","3.3","4,722","592"
"Kluskus 1","IRI","B.C.","38","36","5.6","14","16","-12.5","11","9","22.2","4.40","8.6","4,566","540"
"Lezbye 6 6","IRI","B.C.","..","20","..","..","7","..","..","5","..","0.89","..","..",".."
"Little Springs","IRI","B.C.","20","15","33.3","11","7","57.1","11","6","83.3","4.71","4.2","4,658","569"
"Lohbiee 3 6","IRI","B.C.","..","91","..","..","40","..","..","38","..","2.28","..","..",".."
"Michel Gardens 36","IRI","B.C.","5","5","0.0","5","5","0.0","3","5","-40.0","0.04","120.8","4,760","610"
"Nazco 20","IRI","B.C.","81","90","-10.0","39","34","14.7","34","30","13.3","4.66","17.4","4,344","487"
"One Hundred Mile House 3","DM","B.C.","1,928","1,918","0.5","974","936","4.1","907","863","5.1","53.01","36.4","1,414","207"
"Puntzi Lake 2","IRI","B.C.","5","0","...","2","2","0.0","2","1","100.0","0.23","21.6","4,760","610"
"Quesnel","CY","B.C.","9,889","9,879","0.1","4,766","4,706","1.3","4,508","4,395","2.6","35.35","279.8","434","62"
"Quesnel 1 4","IRI","B.C.","110","107","2.8","45","33","36.4","39","32","21.9","5.45","20.2","4,214","451"
"Redstone Flat 1","IRI","B.C.","181","196","-7.7","64","64","0.0","57","62","-8.1","3.45","52.5","3,925","417"
"Salmon River Meadow 7","IRI","B.C.","0","0","...","0","1","-100.0","0","1","-100.0","0.93","0.0","4,831","644"
"Sandy Harry 4","IRI","B.C.","0","5","-100.0","1","2","-50.0","1","1","0.0","1.68","0.0","4,831","644"
"Soda Creek 1","IRI","B.C.","30","59","-49.2","13","15","-13.3","12","15","-20.0","4.03","7.4","4,592","550"
"Squinas 2","IRI","B.C.","137","134","2.2","56","65","-13.8","50","50","0.0","4.16","33.0","4,111","441"
"Stone 1","IRI","B.C.","219","187","17.1","53","51","3.9","52","50","4.0","15.48","14.2","3,791","402"
"Sundayman's Meadow 3","IRI","B.C.","0","0","...","0","0","...","0","0","...","0.49","0.0","4,831","644"
"Swan Lake 3","IRI","B.C.","0","5","-100.0","0","3","-100.0","0","3","-100.0","0.96","0.0","4,831","644"
"Tanakut 4 6","IRI","B.C.","..","15","..","..","7","..","..","5","..","2.10","..","..",".."
"Thomas Squinas Ranch 2A","IRI","B.C.","5","0","...","2","3","-33.3","2","2","0.0","2.56","2.0","4,760","610"
"Toosey 1","IRI","B.C.","104","107","-2.8","42","42","0.0","42","40","5.0","22.43","4.6","4,233","456"
"Towdystan Lake 3","IRI","B.C.","15","10","50.0","5","5","0.0","5","3","66.7","2.64","5.7","4,694","580"
"Trout Lake Alec 16","IRI","B.C.","0","15","-100.0","1","5","-80.0","1","4","-75.0","0.94","0.0","4,831","644"
"Ulkatcho 13","IRI","B.C.","0","0","...","0","0","...","0","0","...","2.01","0.0","4,831","644"
"Ulkatcho 14A","IRI","B.C.","116","155","-25.2","72","77","-6.5","67","55","21.8","2.64","44.0","4,192","447"
"Wells","DM","B.C.","218","217","0.5","156","158","-1.3","113","112","0.9","158.09","1.4","3,799","403"
"Williams Lake","CY","B.C.","10,947","10,753","1.8","5,066","5,005","1.2","4,736","4,506","5.1","33.12","330.5","399","60"
"Williams Lake 1","IRI","B.C.","248","191","29.8","105","84","25.0","97","76","27.6","16.55","15.0","3,687","383"
"Windy Mouth 7 4","IRI","B.C.","5","5","0.0","2","3","-33.3","2","2","0.0","0.03","148.4","4,760","610"
"Bella Bella 1","IRI","B.C.","1,193","1,019","17.1","457","409","11.7","393","333","18.0","5.83","204.5","1,906","263"
"Bella Coola 1","IRI","B.C.","937","807","16.1","312","295","5.8","287","243","18.1","15.22","61.6","2,197","280"
"Central Coast A","RDA","B.C.","149","203","-26.6","190","156","21.8","89","120","-25.8","19,779.25","0.0","4,060","433"
"Central Coast C","RDA","B.C.","661","653","1.2","372","356","4.5","318","310","2.6","3,963.65","0.2","2,601","303"
"Central Coast D","RDA","B.C.","403","399","1.0","208","186","11.8","189","175","8.0","304.21","1.3","3,169","342"
"Central Coast E","RDA","B.C.","162","148","9.5","85","83","2.4","67","68","-1.5","359.53","0.5","4,003","424"
"Katit 1","IRI","B.C.","77","90","-14.4","47","46","2.2","38","35","8.6","6.04","12.7","4,367","491"
"Castlegar","CY","B.C.","8,338","8,039","3.7","3,702","3,655","1.3","3,549","3,499","1.4","19.87","419.6","495","69"
"Central Kootenay A","RDA","B.C.","2,241","1,930","16.1","1,641","1,596","2.8","1,075","967","11.2","1,689.12","1.3","1,284","193"
"Central Kootenay B","RDA","B.C.","4,802","4,657","3.1","2,162","2,090","3.4","1,977","1,922","2.9","1,615.10","3.0","756","104"
"Central Kootenay C 4","RDA","B.C.","1,475","1,472","0.2","696","689","1.0","635","651","-2.5","740.25","2.0","1,680","243"
"Central Kootenay D","RDA","B.C.","1,462","1,343","8.9","1,029","1,072","-4.0","715","653","9.5","5,781.11","0.3","1,689","245"
"Central Kootenay E","RDA","B.C.","3,897","3,772","3.3","2,150","2,177","-1.2","1,798","1,736","3.6","807.99","4.8","878","135"
"Central Kootenay F","RDA","B.C.","4,116","3,963","3.9","1,962","1,925","1.9","1,761","1,707","3.2","404.38","10.2","841","123"
"Central Kootenay G","RDA","B.C.","1,650","1,623","1.7","832","818","1.7","743","747","-0.5","1,509.14","1.1","1,567","229"
"Central Kootenay H 3","RDA","B.C.","5,045","4,655","8.4","2,669","2,441","9.3","2,280","2,122","7.4","3,288.20","1.5","732","102"
"Central Kootenay I","RDA","B.C.","2,607","2,534","2.9","1,194","1,177","1.4","1,129","1,107","2.0","109.48","23.8","1,153","173"
"Central Kootenay J","RDA","B.C.","3,517","3,137","12.1","1,628","1,546","5.3","1,458","1,345","8.4","1,693.07","2.1","936","143"
"Central Kootenay K","RDA","B.C.","1,784","1,681","6.1","1,100","1,092","0.7","867","831","4.3","4,377.01","0.4","1,489","218"
"Creston 4","T","B.C.","5,583","5,361","4.1","2,810","2,747","2.3","2,670","2,593","3.0","8.41","664.2","687","90"
"Creston 1","IRI","B.C.","93","112","-17.0","42","48","-12.5","37","41","-9.8","7.55","12.3","4,292","468"
"Kaslo","VL","B.C.","1,049","968","8.4","583","555","5.0","526","469","12.2","3.01","348.7","2,054","273"
"Nakusp","VL","B.C.","1,589","1,605","-1.0","831","807","3.0","760","761","-0.1","8.04","197.7","1,604","236"
"Nelson","CY","B.C.","11,106","10,572","5.1","5,314","5,061","5.0","4,948","4,822","2.6","11.93","930.6","390","59"
"New Denver","VL","B.C.","487","473","3.0","304","320","-5.0","248","243","2.1","0.87","559.6","2,975","327"
"Salmo","VL","B.C.","1,140","1,141","-0.1","599","572","4.7","568","547","3.8","2.44","466.4","1,959","266"
"Silverton","VL","B.C.","149","195","-23.6","128","147","-12.9","78","107","-27.1","0.35","420.8","4,060","433"
"Slocan 3","VL","B.C.","379","289","31.1","212","200","6.0","184","150","22.7","0.78","488.6","3,248","348"
"Central Okanagan 4","RDA","B.C.","4,258","3,814","11.6","1,775","1,643","8.0","1,694","1,515","11.8","1,245.08","3.4","825","117"
"Central Okanagan West 4","RDA","B.C.","2,897","1,991","45.5","1,852","1,626","13.9","1,290","904","42.7","1,173.10","2.5","1,069","166"
"Duck Lake 7","IRI","B.C.","1,847","1,664","11.0","999","1,377","-27.5","937","852","10.0","2.01","918.8","1,444","211"
"Kelowna 4","CY","B.C.","144,576","127,390","13.5","67,115","57,436","16.9","62,209","53,906","15.4","211.85","682.4","37","7"
"Lake Country","DM","B.C.","15,817","12,922","22.4","6,852","5,897","16.2","6,204","5,094","21.8","122.16","129.5","281","44"
"Peachland","DM","B.C.","5,789","5,428","6.7","2,936","2,749","6.8","2,689","2,458","9.4","16.10","359.6","670","88"
"Tsinstikeptum 10","IRI","B.C.","1,766","1,416","24.7","885","615","43.9","751","571","31.5","3.31","533.9","1,500","219"
"Tsinstikeptum 9","IRI","B.C.","9,134","7,612","20.0","4,937","3,846","28.4","4,587","3,649","25.7","6.76","1,351.7","460","65"
"West Kelowna","CY","B.C.","36,078","32,655","10.5","14,746","13,190","11.8","13,974","12,437","12.4","122.09","295.5","135","26"
"Chum Creek 2","IRI","B.C.","53","41","29.3","27","31","-12.9","22","23","-4.3","2.77","19.1","4,499","521"
"Columbia-Shuswap A","RDA","B.C.","3,325","3,148","5.6","2,124","2,068","2.7","1,493","1,359","9.9","13,434.86","0.2","967","148"
"Columbia-Shuswap B 4","RDA","B.C.","663","583","13.7","462","455","1.5","298","261","14.2","9,763.80","0.1","2,598","302"
"Columbia-Shuswap C","RDA","B.C.","8,919","7,921","12.6","5,308","5,010","5.9","3,999","3,592","11.3","506.10","17.6","471","68"
"Columbia-Shuswap D","RDA","B.C.","4,400","4,044","8.8","1,924","1,835","4.9","1,802","1,708","5.5","693.67","6.3","799","112"
"Columbia-Shuswap E","RDA","B.C.","1,388","1,185","17.1","1,272","1,231","3.3","652","550","18.5","1,530.03","0.9","1,750","252"
"Columbia-Shuswap F","RDA","B.C.","3,200","2,454","30.4","3,456","3,458","-0.1","1,560","1,221","27.8","2,652.05","1.2","1,000","155"
"Golden","T","B.C.","3,986","3,708","7.5","1,892","1,753","7.9","1,734","1,597","8.6","11.33","351.9","859","128"
"Hustalen 1","IRI","B.C.","44","31","41.9","45","44","2.3","21","10","110.0","9.14","4.8","4,536","534"
"North Bay 5","IRI","B.C.","45","51","-11.8","37","41","-9.8","24","27","-11.1","3.66","12.3","4,529","531"
"Okanagan (Part) 1","IRI","B.C.","91","75","21.3","36","39","-7.7","33","37","-10.8","17.74","5.1","4,299","471"
"Quaaout 1","IRI","B.C.","284","171","66.1","220","239","-7.9","126","83","51.8","17.10","16.6","3,565","376"
"Revelstoke 4","CY","B.C.","8,275","7,562","9.4","3,739","3,542","5.6","3,354","3,258","2.9","41.28","200.5","499","70"
"Salmon Arm","CY","B.C.","19,432","17,706","9.7","8,517","7,838","8.7","8,106","7,460","8.7","155.19","125.2","235","36"
"Salmon River 1 6","IRI","B.C.","..","39","..","..","17","..","..","15","..","16.13","..","..",".."
"Scotch Creek 4","IRI","B.C.","30","20","50.0","77","77","0.0","18","12","50.0","7.94","3.8","4,592","550"
"Sicamous","DM","B.C.","2,613","2,429","7.6","1,905","2,021","-5.7","1,244","1,167","6.6","12.80","204.2","1,151","172"
"Switsemalph","IRI","B.C.","209","127","64.6","95","77","23.4","85","52","63.5","4.79","43.6","3,841","408"
"Switsemalph 3","IRI","B.C.","64","71","-9.9","25","22","13.6","24","22","9.1","5.44","11.8","4,437","503"
"Comox","T","B.C.","14,806","14,028","5.5","6,672","6,410","4.1","6,442","6,208","3.8","16.87","877.7","293","46"
"Comox 1","IRI","B.C.","291","222","31.1","120","114","5.3","113","102","10.8","0.58","499.9","3,539","373"
"Comox Valley A","RDA","B.C.","7,926","7,213","9.9","4,485","4,360","2.9","3,670","3,396","8.1","491.34","16.1","518","75"
"Comox Valley B (Lazo North)","RDA","B.C.","7,392","7,095","4.2","3,376","3,243","4.1","3,147","3,026","4.0","54.08","136.7","559","78"
"Comox Valley C (Puntledge - Black Creek) 4","RDA","B.C.","9,158","8,577","6.8","4,427","4,305","2.8","3,735","3,553","5.1","1,071.86","8.5","458","64"
"Courtenay 4","CY","B.C.","28,420","25,639","10.8","13,414","12,032","11.5","12,992","11,723","10.8","32.42","876.7","163","31"
"Cumberland","VL","B.C.","4,447","3,753","18.5","1,918","1,612","19.0","1,840","1,565","17.6","29.04","153.1","794","111"
"Pentledge 2","IRI","B.C.","5","0","...","0","0","...","0","0","...","0.83","6.0","4,760","610"
"Chemainus 13","IRI","B.C.","818","735","11.3","191","172","11.0","183","168","8.9","11.72","69.8","2,340","287"
"Cowichan 4","IRI","B.C.","2,420","2,066","17.1","617","506","21.9","594","476","24.8","23.15","104.5","1,219","179"
"Cowichan Lake","IRI","B.C.","20","21","-4.8","6","7","-14.3","6","7","-14.3","0.43","47.0","4,658","569"
"Cowichan Valley A","RDA","B.C.","4,949","4,733","4.6","2,166","2,047","5.8","2,036","1,963","3.7","49.21","100.6","742","103"
"Cowichan Valley B","RDA","B.C.","8,994","8,558","5.1","3,891","3,655","6.5","3,452","3,302","4.5","306.08","29.4","465","66"
"Cowichan Valley C","RDA","B.C.","5,046","5,019","0.5","2,283","2,259","1.1","2,213","2,221","-0.4","22.57","223.6","730","101"
"Cowichan Valley D","RDA","B.C.","3,530","3,243","8.8","1,585","1,465","8.2","1,488","1,393","6.8","15.53","227.3","926","140"
"Cowichan Valley E","RDA","B.C.","4,253","4,121","3.2","1,713","1,720","-0.4","1,645","1,630","0.9","134.78","31.6","827","119"
"Cowichan Valley F","RDA","B.C.","1,804","1,629","10.7","904","866","4.4","758","719","5.4","1,791.88","1.0","1,475","214"
"Cowichan Valley G 4","RDA","B.C.","2,442","2,315","5.5","1,374","1,275","7.8","1,089","1,043","4.4","286.90","8.5","1,214","178"
"Cowichan Valley H","RDA","B.C.","2,603","2,446","6.4","1,238","1,196","3.5","1,137","1,082","5.1","83.02","31.4","1,154","174"
"Cowichan Valley I","RDA","B.C.","1,423","1,206","18.0","1,172","1,028","14.0","709","592","19.8","505.51","2.8","1,718","248"
"Duncan","CY","B.C.","5,047","4,944","2.1","2,620","2,523","3.8","2,454","2,381","3.1","2.06","2,444.5","729","100"
"Est-Patrolas 4","IRI","B.C.","26","23","13.0","10","6","66.7","10","6","66.7","0.32","80.1","4,622","558"
"Halalt 2","IRI","B.C.","156","168","-7.1","48","39","23.1","43","39","10.3","1.20","130.1","4,028","428"
"Kil-pah-las 3","IRI","B.C.","0","0","...","0","0","...","0","0","...","0.22","0.0","4,831","644"
"Ladysmith","T","B.C.","8,990","8,537","5.3","4,079","3,754","8.7","3,926","3,710","5.8","12.04","746.5","467","67"
"Lake Cowichan","T","B.C.","3,325","3,226","3.1","1,586","1,534","3.4","1,491","1,474","1.2","8.24","403.5","967","148"
"Lyacksun 3 4","IRI","B.C.","30","10","200.0","93","129","-27.9","16","7","128.6","7.57","4.0","4,592","550"
"Malachan 11","IRI","B.C.","178","158","12.7","77","74","4.1","60","56","7.1","0.57","312.1","3,939","419"
"Malahat 11","IRI","B.C.","165","143","15.4","42","39","7.7","41","37","10.8","2.45","67.3","3,991","423"
"North Cowichan 4","DM","B.C.","31,990","29,696","7.7","14,266","13,420","6.3","13,741","12,773","7.6","195.41","163.7","152","29"
"Oyster Bay 12","IRI","B.C.","105","77","36.4","21","20","5.0","20","19","5.3","1.23","85.5","4,229","454"
"Penelakut Island 7","IRI","B.C.","513","452","13.5","140","126","11.1","131","122","7.4","9.12","56.2","2,902","320"
"Portier Pass 5","IRI","B.C.","0","0","...","0","0","...","0","0","...","0.02","0.0","4,831","644"
"Shingle Point 4","IRI","B.C.","0","0","...","0","0","...","0","0","...","0.40","0.0","4,831","644"
"Squaw-Hay-One 11","IRI","B.C.","29","35","-17.1","10","10","0.0","7","9","-22.2","0.33","88.1","4,610","554"
"Theik 2","IRI","B.C.","48","36","33.3","9","9","0.0","8","8","0.0","0.34","141.7","4,521","528"
"Tsussie 6","IRI","B.C.","82","103","-20.4","25","27","-7.4","24","23","4.3","0.13","652.3","4,337","484"
"Tzart-Lam 5","IRI","B.C.","27","39","-30.8","8","13","-38.5","8","12","-33.3","0.07","362.4","4,615","556"
"Canal Flats","VL","B.C.","802","668","20.1","470","375","25.3","362","289","25.3","11.07","72.5","2,370","288"
"Cassimayooks (Mayook) 5","IRI","B.C.","5","0","...","1","2","-50.0","1","2","-50.0","0.62","8.1","4,760","610"
"Columbia Lake 3","IRI","B.C.","149","140","6.4","195","186","4.8","62","57","8.8","36.02","4.1","4,060","433"
"Cranbrook","CY","B.C.","20,499","20,047","2.3","9,058","8,799","2.9","8,780","8,545","2.8","31.97","641.2","221","35"
"East Kootenay A 5","RDA","B.C.","1,875","1,683","11.4","1,175","1,190","-1.3","786","724","8.6","4,598.88","0.4","1,430","210"
"East Kootenay B","RDA","B.C.","2,011","1,976","1.8","1,278","1,234","3.6","873","827","5.6","2,781.15","0.7","1,375","203"
"East Kootenay C 4","RDA","B.C.","6,536","6,021","8.6","2,917","2,830","3.1","2,598","2,429","7.0","4,528.65","1.4","612","82"
"East Kootenay E","RDA","B.C.","1,686","1,753","-3.8","977","1,161","-15.8","754","800","-5.8","4,254.44","0.4","1,545","224"
"East Kootenay F","RDA","B.C.","3,521","2,726","29.2","3,550","3,267","8.7","1,589","1,198","32.6","6,091.91","0.6","932","142"
"East Kootenay G 4","RDA","B.C.","1,654","1,467","12.7","1,112","901","23.4","763","693","10.1","4,656.39","0.4","1,564","228"
"Elkford","DM","B.C.","2,749","2,499","10.0","1,602","1,521","5.3","1,159","1,043","11.1","108.12","25.4","1,112","169"
"Fernie 7","CY","B.C.","6,320","5,396","17.1","3,256","3,162","3.0","2,597","2,278","14.0","15.11","418.3","623","83"
"Invermere","DM","B.C.","3,917","3,391","15.5","2,238","2,032","10.1","1,660","1,376","20.6","10.75","364.4","870","132"
"Isidore's Ranch 4","IRI","B.C.","0","0","...","0","0","...","0","0","...","2.63","0.0","4,831","644"
"Kimberley","CY","B.C.","8,115","7,425","9.3","4,263","4,225","0.9","3,595","3,328","8.0","60.51","134.1","508","73"
"Kootenay 1","IRI","B.C.","145","170","-14.7","43","60","-28.3","42","55","-23.6","74.02","2.0","4,077","437"
"Radium Hot Springs","VL","B.C.","1,339","776","72.6","1,366","876","55.9","634","348","82.2","6.34","211.3","1,782","255"
"Shuswap 4","IRI","B.C.","319","314","1.6","183","181","1.1","157","138","13.8","11.14","28.6","3,448","365"
"Sparwood","DM","B.C.","4,148","3,784","9.6","2,183","2,130","2.5","1,815","1,652","9.9","191.30","21.7","837","121"
"St. Mary's 4","IRI","B.C.","10","15","-33.3","4","6","-33.3","4","6","-33.3","1.36","7.4","4,722","592"
"Tobacco Plains 2","IRI","B.C.","96","75","28.0","60","59","1.7","33","26","26.9","41.74","2.3","4,276","464"
"Abbotsford","CY","B.C.","153,524","141,397","8.6","55,659","51,770","7.5","53,234","49,040","8.6","375.33","409.0","32","5"
"Aitchelitch 9","IRI","B.C.","45","15","200.0","13","5","160.0","13","5","160.0","0.21","215.5","4,529","531"
"Albert Flat 5","IRI","B.C.","41","20","105.0","23","9","155.6","19","8","137.5","0.82","50.1","4,545","536"
"Boothroyd 13","IRI","B.C.","0","0","...","0","0","...","0","0","...","0.86","0.0","4,831","644"
"Boston Bar 1A","IRI","B.C.","0","0","...","0","0","...","0","0","...","0.40","0.0","4,831","644"
"Bucktum 4","IRI","B.C.","5","0","...","2","1","100.0","2","1","100.0","0.38","13.1","4,760","610"
"Chawathil 4","IRI","B.C.","182","186","-2.2","52","52","0.0","51","49","4.1","5.44","33.5","3,923","416"
"Cheam 1","IRI","B.C.","207","202","2.5","76","77","-1.3","74","72","2.8","3.50","59.2","3,847","410"
"Chehalis 5","IRI","B.C.","500","537","-6.9","173","170","1.8","162","161","0.6","8.50","58.8","2,942","324"
"Chilliwack","CY","B.C.","93,203","83,788","11.2","37,124","34,038","9.1","35,758","32,440","10.2","261.34","356.6","65","13"
"Douglas 8","IRI","B.C.","66","67","-1.5","34","22","54.5","34","22","54.5","3.81","17.3","4,423","499"
"Fraser Valley A","RDA","B.C.","495","405","22.2","287","316","-9.2","247","234","5.6","2,325.06","0.2","2,949","326"
"Fraser Valley B 4","RDA","B.C.","869","892","-2.6","598","710","-15.8","392","378","3.7","3,085.22","0.3","2,282","282"
"Fraser Valley C","RDA","B.C.","1,133","1,023","10.8","894","929","-3.8","546","465","17.4","3,662.73","0.3","1,965","267"
"Fraser Valley D","RDA","B.C.","2,092","1,529","36.8","735","596","23.3","712","524","35.9","219.38","9.5","1,342","197"
"Fraser Valley E","RDA","B.C.","1,568","1,540","1.8","724","738","-1.9","649","653","-0.6","640.29","2.4","1,622","239"
"Fraser Valley F","RDA","B.C.","1,384","1,293","7.0","783","754","3.8","563","535","5.2","2,015.06","0.7","1,755","254"
"Fraser Valley G","RDA","B.C.","1,692","1,776","-4.7","897","991","-9.5","670","733","-8.6","96.81","17.5","1,542","223"
